Comment,Designator,Footprint,LCSC,Quantity
0.1uF,C1,C_0805_2012Metric,C28233,1
100,R16,R_0805_2012Metric,C17408,1
100K,"R10,R11,R12,R13,R14,R15,R6,R7,R8,R9",R_0805_2012Metric,C122537,10
1Meg,R22,R_0805_2012Metric,C445668,1
200K,R3,R_0805_2012Metric,C218415,1
22,R18,R_0805_2012Metric,C17561,1
4.7K,"R1,R2,R23",R_0805_2012Metric,C515732,3
499K,"R19,R20,R21",R_0805_2012Metric,C218596,3
56K,"R17,R5",R_0805_2012Metric,C218627,2
75K,R4,R_0805_2012Metric,C319485,1
AO3400A MOSFET,"Q1,Q2",SOT-23,C20917,2
D_Schottky,"D1,D2",D_SOD-123,C8598,2
SW_DIP_x04,SW1,SW_DIP_SPSTx04_Slide_KingTek_DSHP04TS_W7.62mm_P1.27mm,C3293144,1
TL431DBZ,U3,SOT-23,C8499,1
Conn_01x01,J1,SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm,,1
Battery,J4,PinHeader_1x02_P1.27mm_Vertical,,1
Conn_01x01,J5,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,,1
Conn_01x01,J2,SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm,,1
Buzzer,BZ1,Buzzer_12x9.5RM7.6,,1
Conn_01x03_Pin,J8,PinHeader_1x03_P1.27mm_Vertical,,1
Pin2_Gnd,JP2,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,,1
Pin2_High,JP1,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,,1
